City_ID,City,Country,Max Temp,Description,Lat,Lng,Date,Hotel Name
118,Ngawen,ID,74.25,light rain,-7.0032,111.3129,2022-08-01 18:33:35,Bu Sarpi serabi
119,Muros,ES,84.09,clear sky,42.7762,-9.0603,2022-08-01 18:33:36,Apartment Av. Castelao
123,Alcantara,BR,86.2,light rain,-2.4089,-44.4147,2022-08-01 18:33:38,Pousada da Josefa
126,Riverton,US,88.45,clear sky,40.5219,-111.9391,2022-08-01 18:33:40,Ramada by Wyndham Draper
129,Touros,BR,80.65,clear sky,-5.1989,-35.4608,2022-08-01 18:33:42,INN NEW HORIZON
130,Makakilo City,US,78.69,broken clouds,21.3469,-158.0858,2022-08-01 18:33:43,Marriott's Ko Olina Beach Club
131,Mackenzie,CA,73.62,clear sky,55.2999,-123.1698,2022-08-01 18:33:43,Hilton Shop
136,Gabu,GW,76.35,moderate rain,12.2833,-14.2167,2022-08-01 18:33:46,Hotel karsa
140,Bengkulu,ID,75.47,overcast clouds,-3.8004,102.2655,2022-08-01 18:34:49,Grage Hotel Bengkulu
141,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,2022-08-01 18:32:31,Pousada Porto De Canoas
142,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,2022-08-01 18:34:50,Hotel Ponta Verde Maceió
143,Diego De Almagro,CL,71.01,clear sky,-26.3667,-70.05,2022-08-01 18:32:06,hotel luna del desierto
144,Pemangkat,ID,79.21,overcast clouds,1.1667,108.9667,2022-08-01 18:34:51,Hotel Duyung Permai 2
145,Kikwit,CD,83.89,clear sky,-5.041,18.8162,2022-08-01 18:34:52,HOTEL PLACE YALABA
148,Dalbandin,PK,91.63,clear sky,28.8947,64.4101,2022-08-01 18:34:53,Sanjrani House
149,Cabo San Lucas,MX,92.61,broken clouds,22.8909,-109.9124,2022-08-01 18:34:13,Hotel Tesoro Los Cabos
151,Wanning,CN,81.07,overcast clouds,18.8003,110.3967,2022-08-01 18:34:55,Paradise Hotel
152,Komsomolskiy,UZ,80.01,overcast clouds,40.4272,71.7189,2022-08-01 18:34:56,Ikathouse
153,Ankang,CN,73.94,clear sky,32.68,109.0172,2022-08-01 18:34:57,安琪酒店
154,Georgetown,MY,82.33,few clouds,5.4112,100.3354,2022-08-01 18:34:58,Cititel Penang
155,Inyonga,TZ,72.03,scattered clouds,-6.7167,32.0667,2022-08-01 18:34:59,Eden Rock Lodge
156,Esmeraldas,BR,80.71,overcast clouds,-19.7625,-44.3139,2022-08-01 18:35:00,Forasteiro Pousada
157,Horsham,GB,77.29,clear sky,51.064,-0.3272,2022-08-01 18:35:00,Springfields Hotel
161,San Ignacio,BZ,84.34,thunderstorm,17.1561,-89.0714,2022-08-01 18:35:03,Rainforest Haven Inn
165,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,2022-08-01 18:34:57,HS Hotsson Smart Acapulco
167,Borova,UA,72.34,light rain,50.1763,30.1043,2022-08-01 18:35:07,"Villa ""Stuhna"""
168,Porto Velho,BR,91.45,clear sky,-8.7619,-63.9039,2022-08-01 18:34:11,Ecos Hotel Conforto
169,Corrales,US,91.71,clear sky,35.2378,-106.6067,2022-08-01 18:35:08,Quality Inn
172,Beirut,LB,83.14,broken clouds,33.8889,35.4944,2022-08-01 18:31:57,"Crowne Plaza Beirut, an IHG Hotel"
176,Saint George,US,88.95,clear sky,37.1041,-113.5841,2022-08-01 18:34:57,Best Western Plus Abbey Inn
178,Kibala,TD,73.35,thunderstorm,9.1104,18.3463,2022-08-01 18:35:12,Prasant Hotels
181,Aguimes,ES,77.63,few clouds,27.9054,-15.4461,2022-08-01 18:35:14,Hotel Villa de Aguimes
183,Dingle,PH,75.13,overcast clouds,10.9995,122.6711,2022-08-01 18:35:15,SEGAYA PROPERTY
185,Seydi,TM,84.15,broken clouds,39.4816,62.9137,2022-08-01 18:35:16,Seydi oteli
186,Caravelas,BR,73.8,clear sky,-17.7125,-39.2481,2022-08-01 18:30:30,Pousada dos Navegantes
187,Kimbe,PG,74.55,broken clouds,-5.5502,150.1429,2022-08-01 18:36:17,Kimbe Bay Hotel
188,Coahuayana,MX,92.53,broken clouds,18.7333,-103.6833,2022-08-01 18:36:18,El rranchito michuacan de ocampos
192,Lagoa,PT,74.41,clear sky,39.05,-27.9833,2022-08-01 18:36:20,Casa Das Faias
193,Luzhou,CN,76.32,moderate rain,28.8724,105.4405,2022-08-01 18:36:20,Shijichun Hotel
194,Meybod,IR,91.42,clear sky,32.2501,54.0166,2022-08-01 18:36:21,Traditional Hotel Restaurant Haji Malek
196,Gazli,UZ,85.08,broken clouds,40.1333,63.45,2022-08-01 18:36:22,UTG Uy-joy kommunal xoʻjaligi
198,Nuevo Casas Grandes,MX,82.74,few clouds,30.4167,-107.9167,2022-08-01 18:36:23,Hotel Villa Colonial
202,Samarinda,ID,72.12,overcast clouds,-0.5,117.15,2022-08-01 18:36:25,ASTON Samarinda Hotel & Convention Center
210,Hami,CN,83.23,clear sky,42.8,93.45,2022-08-01 18:36:30,Laoyutang Resort
213,Oussouye,SN,87.98,overcast clouds,12.485,-16.5469,2022-08-01 18:36:32,Auberge du Routard
214,Naze,JP,79.72,broken clouds,28.3667,129.4833,2022-08-01 18:36:32,Shishime Hotel
216,Bolobo,CD,81.82,scattered clouds,-2.1667,16.2333,2022-08-01 18:36:33,Hotel de Stephen
218,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,2022-08-01 18:36:34,Atlantis Hotel
219,San Quintin,MX,78.75,overcast clouds,30.4833,-115.95,2022-08-01 18:36:35,Don Eddie's / Hotel - Restaurant
220,Fiditi,NG,71.13,light rain,7.7136,3.9172,2022-08-01 18:36:35,"FBC Guest House, Fiditi"
221,Trincomalee,LK,80.38,heavy intensity rain,8.5711,81.2335,2022-08-01 18:36:36,Welcombe Hotel
224,Fare,PF,78.06,clear sky,-16.7,-151.0167,2022-08-01 18:36:38,Maitai Lapita Village Huahine
227,Belmonte,BR,76.62,few clouds,-15.8631,-38.8828,2022-08-01 18:36:39,Pousada Monte Carmelo O Pão
228,Margate,GB,71.87,overcast clouds,51.3813,1.3862,2022-08-01 18:35:43,Premier Inn Margate hotel
229,Newport,GB,74.77,overcast clouds,51.5877,-2.9984,2022-08-01 18:36:40,ibis budget Newport
232,Columbus,US,84.11,overcast clouds,39.9612,-82.9988,2022-08-01 18:34:03,DoubleTree Suites by Hilton Hotel Columbus Downtown
234,Kindia,GN,70.3,heavy intensity rain,10.0569,-12.8658,2022-08-01 18:37:43,LES EAUX DE KILISSI
237,Ukiah,US,83.44,clear sky,39.1502,-123.2078,2022-08-01 18:33:25,Hampton Inn Ukiah
239,Waingapu,ID,73.87,broken clouds,-9.6567,120.2641,2022-08-01 18:37:45,Pondok Wisata Elim
241,Skowhegan,US,88.38,clear sky,44.7651,-69.7192,2022-08-01 18:32:46,"Yogi Bear's Jellystone Park™ at Yonderhill in Madison, ME"
243,Portland,US,85.15,broken clouds,45.5234,-122.6762,2022-08-01 18:34:58,Embassy Suites by Hilton Portland Downtown
244,Quesnel,CA,75.7,clear sky,52.9999,-122.5029,2022-08-01 18:37:47,Ramada by Wyndham Quesnel
245,Laguna,US,83.95,few clouds,38.421,-121.4238,2022-08-01 18:37:48,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
247,Pyay,MM,79.29,overcast clouds,18.8167,95.2167,2022-08-01 18:37:49,Shwe Pyi Thar
251,Dorado,PR,92.71,haze,18.4588,-66.2677,2022-08-01 18:37:52,Embassy Suites by Hilton Dorado del Mar Beach Resort
252,Miguel Calmon,BR,78.6,clear sky,-11.4289,-40.595,2022-08-01 18:37:53,Pousada Guiomar
253,Axim,GH,74.21,scattered clouds,4.8699,-2.2405,2022-08-01 18:37:53,Axim Beach Resort And Spa
254,Liwale,TZ,70.95,broken clouds,-9.7667,37.9333,2022-08-01 18:37:54,Tumaini Tulivu Lodge
256,North Platte,US,97.12,clear sky,41.1239,-100.7654,2022-08-01 18:37:55,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
257,Sao Filipe,CV,76.19,scattered clouds,14.8961,-24.4956,2022-08-01 18:37:56,Hotel Xaguate
258,Rodrigues Alves,BR,82.6,overcast clouds,-7.738,-72.6509,2022-08-01 18:37:56,Pousada Aconchego
259,Auki,SB,76.96,scattered clouds,-8.7676,160.7034,2022-08-01 18:37:57,Auki Motel
261,Paita,PE,70.95,few clouds,-5.0892,-81.1144,2022-08-01 18:37:58,Hotel Náutico de Paita
263,Mitsamiouli,KM,75.49,light rain,-11.3847,43.2844,2022-08-01 18:37:59,Foyer ADM
267,Ponta Do Sol,PT,78.71,clear sky,32.6667,-17.1,2022-08-01 18:38:02,Hotel do Campo
268,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,2022-08-01 18:38:03,Flat Quatro Rodas Olinda
269,Ruidoso,US,86.95,overcast clouds,33.3317,-105.673,2022-08-01 18:38:04,Inn of the Mountain Gods
270,Riyadh,SA,96.94,overcast clouds,24.6877,46.7219,2022-08-01 18:38:05,"InterContinental Riyadh, an IHG Hotel"
271,Clearlake,US,80.58,overcast clouds,38.9582,-122.6264,2022-08-01 18:38:05,Americas Best Value Inn & Suites Clearlake Wine Country
272,Katsuura,JP,79.43,overcast clouds,35.1333,140.3,2022-08-01 18:38:06,Katsuura Hotel Mikazuki
273,Zhaoqing,CN,86.83,clear sky,23.0512,112.4597,2022-08-01 18:38:07,七星岩旅游度假区
274,Manzanillo,CU,93.24,few clouds,20.3433,-77.1167,2022-08-01 18:38:08,"HOSTAL ""THE YELLOW HOUSE"""
276,Cedar City,US,79.39,clear sky,37.6775,-113.0619,2022-08-01 18:36:31,Hampton Inn Cedar City
277,Deer Lake,CA,84.06,broken clouds,49.1667,-57.4316,2022-08-01 18:38:09,"Holiday Inn Express Deer Lake, an IHG Hotel"
278,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,2022-08-01 18:37:24,Hotel Vitória Palace
280,Imbituba,BR,70.86,clear sky,-28.24,-48.6703,2022-08-01 18:38:11,Praia Hotel Imbituba
281,Kudahuvadhoo,MV,81.45,overcast clouds,2.6708,72.8944,2022-08-01 18:39:13,Niyama Private Islands Maldives
282,Hede,CN,76.53,clear sky,33.7681,120.2517,2022-08-01 18:39:13,Vienna 3 Best Hotel Sheyang Jiefang Rd
285,Huangzhai,CN,75.61,scattered clouds,38.0751,112.6595,2022-08-01 18:39:15,Yangqu Yellow River Jingdu Hotel
286,Nouakchott,MR,84.13,clear sky,18.0858,-15.9785,2022-08-01 18:39:16,HOTEL IMAN
