City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
184,Nome,64.5011,-165.4064,66.27,53,75,8.05,US,2022-08-01 18:35:16,broken clouds
185,Seydi,39.4816,62.9137,84.15,26,63,9.28,TM,2022-08-01 18:35:16,broken clouds
186,Caravelas,-17.7125,-39.2481,73.8,82,9,6.42,BR,2022-08-01 18:30:30,clear sky
187,Kimbe,-5.5502,150.1429,74.55,92,57,5.19,PG,2022-08-01 18:36:17,broken clouds
188,Coahuayana,18.7333,-103.6833,92.53,53,71,6.26,MX,2022-08-01 18:36:18,broken clouds
189,Batemans Bay,-35.7167,150.1833,52.11,77,80,6.08,AU,2022-08-01 18:36:18,broken clouds
190,Lavrentiya,65.5833,-171.0,49.19,70,87,1.5,RU,2022-08-01 18:33:19,overcast clouds
191,San Carlos De Bariloche,-41.1456,-71.3082,44.35,49,20,18.41,AR,2022-08-01 18:34:40,few clouds
192,Lagoa,39.05,-27.9833,74.41,71,1,7.96,PT,2022-08-01 18:36:20,clear sky
193,Luzhou,28.8724,105.4405,76.32,96,100,2.89,CN,2022-08-01 18:36:20,moderate rain
194,Meybod,32.2501,54.0166,91.42,25,7,9.19,IR,2022-08-01 18:36:21,clear sky
195,Mount Gambier,-37.8333,140.7667,48.11,93,75,10.36,AU,2022-08-01 18:36:21,broken clouds
196,Gazli,40.1333,63.45,85.08,24,58,8.39,UZ,2022-08-01 18:36:22,broken clouds
197,Anadyr,64.75,177.4833,55.9,66,0,0.0,RU,2022-08-01 18:36:22,clear sky
198,Nuevo Casas Grandes,30.4167,-107.9167,82.74,54,14,4.14,MX,2022-08-01 18:36:23,few clouds
199,Leshukonskoye,64.8989,45.7622,54.63,96,6,4.65,RU,2022-08-01 18:36:23,clear sky
200,Calbuco,-41.768,-73.1273,47.41,82,100,3.51,CL,2022-08-01 18:34:22,overcast clouds
201,Skjervoy,70.0311,20.9714,55.4,88,0,3.09,NO,2022-08-01 18:36:24,clear sky
202,Samarinda,-0.5,117.15,72.12,98,100,0.13,ID,2022-08-01 18:36:25,overcast clouds
203,Grand Gaube,-20.0064,57.6608,66.6,89,100,17.31,MU,2022-08-01 18:36:26,light rain
204,Umm Kaddadah,13.6017,26.6876,82.45,53,100,7.72,SD,2022-08-01 18:36:27,overcast clouds
205,Kysyl-Syr,63.8986,122.7617,60.35,98,40,7.94,RU,2022-08-01 18:36:27,scattered clouds
206,Batagay-Alyta,67.8006,130.4114,51.28,86,100,4.85,RU,2022-08-01 18:36:28,overcast clouds
207,Lolodorf,3.2333,10.7333,69.08,98,92,2.57,CM,2022-08-01 18:36:28,overcast clouds
208,La Paz,-16.5,-68.15,66.18,10,20,8.05,BO,2022-08-01 18:36:29,few clouds
209,Borovoy,55.4333,86.0833,58.28,100,100,11.18,RU,2022-08-01 18:36:30,overcast clouds
210,Hami,42.8,93.45,83.23,29,6,8.21,CN,2022-08-01 18:36:30,clear sky
211,Codrington,-38.2667,141.9667,47.23,95,66,11.48,AU,2022-08-01 18:36:30,broken clouds
212,Tacuati,-23.45,-56.5833,90.64,26,91,0.36,PY,2022-08-01 18:36:31,overcast clouds
213,Oussouye,12.485,-16.5469,87.98,83,100,10.51,SN,2022-08-01 18:36:32,overcast clouds
214,Naze,28.3667,129.4833,79.72,85,53,11.63,JP,2022-08-01 18:36:32,broken clouds
215,Sorland,67.667,12.6934,49.86,86,100,18.1,NO,2022-08-01 18:36:33,light rain
216,Bolobo,-2.1667,16.2333,81.82,43,46,1.95,CD,2022-08-01 18:36:33,scattered clouds
217,Beloha,-25.1667,45.05,65.52,81,77,11.72,MG,2022-08-01 18:36:34,broken clouds
218,Bathsheba,13.2167,-59.5167,88.41,81,40,23.02,BB,2022-08-01 18:36:34,scattered clouds
219,San Quintin,30.4833,-115.95,78.75,55,85,12.21,MX,2022-08-01 18:36:35,overcast clouds
220,Fiditi,7.7136,3.9172,71.13,94,68,6.58,NG,2022-08-01 18:36:35,light rain
221,Trincomalee,8.5711,81.2335,80.38,79,100,24.4,LK,2022-08-01 18:36:36,heavy intensity rain
222,Port Hardy,50.6996,-127.4199,62.78,72,75,16.11,CA,2022-08-01 18:36:37,broken clouds
223,Iqaluit,63.7506,-68.5145,53.33,81,75,5.75,CA,2022-08-01 18:36:37,broken clouds
224,Fare,-16.7,-151.0167,78.06,67,2,25.1,PF,2022-08-01 18:36:38,clear sky
225,Lienz,46.8289,12.769,65.19,86,56,3.76,AT,2022-08-01 18:36:38,broken clouds
226,San Juan,-31.5375,-68.5364,66.74,24,99,5.48,AR,2022-08-01 18:35:34,overcast clouds
227,Belmonte,-15.8631,-38.8828,76.62,71,19,7.18,BR,2022-08-01 18:36:39,few clouds
228,Margate,51.3813,1.3862,71.87,80,100,4.0,GB,2022-08-01 18:35:43,overcast clouds
229,Newport,51.5877,-2.9984,74.77,77,100,12.17,GB,2022-08-01 18:36:40,overcast clouds
230,Hirna,9.2167,41.1,61.56,87,98,8.46,ET,2022-08-01 18:36:41,overcast clouds
231,Clyde River,70.4692,-68.5914,41.23,87,100,14.97,CA,2022-08-01 18:36:42,overcast clouds
232,Columbus,39.9612,-82.9988,84.11,72,100,16.11,US,2022-08-01 18:34:03,overcast clouds
233,Butembo,0.15,29.2833,57.38,99,100,2.1,CD,2022-08-01 18:37:43,light rain
234,Kindia,10.0569,-12.8658,70.3,98,100,3.02,GN,2022-08-01 18:37:43,heavy intensity rain
235,Vypolzovo,57.8767,33.6986,60.22,85,100,8.5,RU,2022-08-01 18:37:44,overcast clouds
236,Erdenet,49.0333,104.0833,60.89,79,100,4.47,MN,2022-08-01 18:35:25,overcast clouds
237,Ukiah,39.1502,-123.2078,83.44,56,0,0.0,US,2022-08-01 18:33:25,clear sky
238,Cape Town,-33.9258,18.4232,56.91,78,0,8.01,ZA,2022-08-01 18:37:40,clear sky
239,Waingapu,-9.6567,120.2641,73.87,86,75,5.55,ID,2022-08-01 18:37:45,broken clouds
240,Namibe,-15.1961,12.1522,60.87,60,93,12.71,AO,2022-08-01 18:37:45,overcast clouds
241,Skowhegan,44.7651,-69.7192,88.38,56,1,6.91,US,2022-08-01 18:32:46,clear sky
242,Ahipara,-35.1667,173.1667,48.27,86,99,4.54,NZ,2022-08-01 18:37:46,overcast clouds
243,Portland,45.5234,-122.6762,85.15,54,75,5.75,US,2022-08-01 18:34:58,broken clouds
244,Quesnel,52.9999,-122.5029,75.7,46,0,3.44,CA,2022-08-01 18:37:47,clear sky
245,Laguna,38.421,-121.4238,83.95,66,20,5.75,US,2022-08-01 18:37:48,few clouds
246,Chingirlau,51.095,54.0814,69.71,61,3,7.07,KZ,2022-08-01 18:37:49,clear sky
247,Pyay,18.8167,95.2167,79.29,88,99,7.09,MM,2022-08-01 18:37:49,overcast clouds
248,Camacha,33.0833,-16.3333,69.22,73,40,18.41,PT,2022-08-01 18:37:50,scattered clouds
249,Hamina,60.5697,27.1979,63.68,89,100,13.13,FI,2022-08-01 18:37:51,overcast clouds
250,Arman,59.7,150.1667,57.02,97,100,6.49,RU,2022-08-01 18:37:51,overcast clouds
251,Dorado,18.4588,-66.2677,92.71,79,75,12.66,PR,2022-08-01 18:37:52,haze
252,Miguel Calmon,-11.4289,-40.595,78.6,46,1,9.71,BR,2022-08-01 18:37:53,clear sky
253,Axim,4.8699,-2.2405,74.21,78,49,10.25,GH,2022-08-01 18:37:53,scattered clouds
254,Liwale,-9.7667,37.9333,70.95,54,84,5.82,TZ,2022-08-01 18:37:54,broken clouds
255,Mahebourg,-20.4081,57.7,66.49,100,75,3.44,MU,2022-08-01 18:37:54,light intensity shower rain
256,North Platte,41.1239,-100.7654,97.12,34,0,9.22,US,2022-08-01 18:37:55,clear sky
257,Sao Filipe,14.8961,-24.4956,76.19,82,47,9.53,CV,2022-08-01 18:37:56,scattered clouds
258,Rodrigues Alves,-7.738,-72.6509,82.6,68,100,2.15,BR,2022-08-01 18:37:56,overcast clouds
259,Auki,-8.7676,160.7034,76.96,84,25,4.03,SB,2022-08-01 18:37:57,scattered clouds
260,Tilichiki,60.4667,166.1,50.18,83,100,3.18,RU,2022-08-01 18:33:13,overcast clouds
261,Paita,-5.0892,-81.1144,70.95,71,14,15.32,PE,2022-08-01 18:37:58,few clouds
262,Guapore,-28.8456,-51.8903,69.71,57,1,1.32,BR,2022-08-01 18:37:58,clear sky
263,Mitsamiouli,-11.3847,43.2844,75.49,78,20,2.3,KM,2022-08-01 18:37:59,light rain
264,Abu Dhabi,24.4667,54.3667,100.51,44,0,6.91,AE,2022-08-01 18:38:00,clear sky
265,Dikson,73.5069,80.5464,41.16,91,100,9.53,RU,2022-08-01 18:38:01,overcast clouds
266,Mocuba,-16.8392,36.9856,63.59,94,50,3.44,MZ,2022-08-01 18:38:01,scattered clouds
267,Ponta Do Sol,32.6667,-17.1,78.71,76,1,4.56,PT,2022-08-01 18:38:02,clear sky
268,Olinda,-8.0089,-34.8553,80.33,65,40,14.97,BR,2022-08-01 18:38:03,scattered clouds
269,Ruidoso,33.3317,-105.673,86.95,36,94,10.36,US,2022-08-01 18:38:04,overcast clouds
270,Riyadh,24.6877,46.7219,96.94,38,100,5.68,SA,2022-08-01 18:38:05,overcast clouds
271,Clearlake,38.9582,-122.6264,80.58,67,100,1.95,US,2022-08-01 18:38:05,overcast clouds
272,Katsuura,35.1333,140.3,79.43,92,100,10.56,JP,2022-08-01 18:38:06,overcast clouds
273,Zhaoqing,23.0512,112.4597,86.83,79,10,1.54,CN,2022-08-01 18:38:07,clear sky
274,Manzanillo,20.3433,-77.1167,93.24,53,12,8.43,CU,2022-08-01 18:38:08,few clouds
275,Berlevag,70.8578,29.0864,55.4,87,100,4.61,NO,2022-08-01 18:38:08,mist
276,Cedar City,37.6775,-113.0619,79.39,53,0,13.8,US,2022-08-01 18:36:31,clear sky
277,Deer Lake,49.1667,-57.4316,84.06,51,75,19.57,CA,2022-08-01 18:38:09,broken clouds
278,Vila Velha,-20.3297,-40.2925,80.55,75,20,12.66,BR,2022-08-01 18:37:24,few clouds
279,Khandyga,62.6667,135.6,61.99,73,100,3.94,RU,2022-08-01 18:38:10,overcast clouds
280,Imbituba,-28.24,-48.6703,70.86,80,0,5.99,BR,2022-08-01 18:38:11,clear sky
281,Kudahuvadhoo,2.6708,72.8944,81.45,74,100,20.45,MV,2022-08-01 18:39:13,overcast clouds
282,Hede,33.7681,120.2517,76.53,91,0,4.97,CN,2022-08-01 18:39:13,clear sky
283,Poronaysk,49.2167,143.1167,55.94,93,100,11.54,RU,2022-08-01 18:39:14,overcast clouds
284,Yarensk,62.1675,49.0916,58.41,83,0,2.59,RU,2022-08-01 18:39:14,clear sky
285,Huangzhai,38.0751,112.6595,75.61,77,28,2.89,CN,2022-08-01 18:39:15,scattered clouds
286,Nouakchott,18.0858,-15.9785,84.13,78,0,11.9,MR,2022-08-01 18:39:16,clear sky
287,Saint Andrews,34.0454,-81.1293,96.39,45,40,16.11,US,2022-08-01 18:39:17,scattered clouds
288,Salina,38.8403,-97.6114,97.3,49,0,8.05,US,2022-08-01 18:36:54,clear sky
289,Lazaro Cardenas,17.9583,-102.2,88.63,60,17,7.92,MX,2022-08-01 18:39:17,few clouds
